subject_code,subject_name,term,day,period,instructors,class_id,status,note
COM501a,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,月,2,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,月,3,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,火,2,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,月,2,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,月,3,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,火,2,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501g,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM501g,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM501h,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM501h,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM505f,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM505f,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM601b,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM601b,ソフトウェア工学,後学期,木,4,田原　康之,,,
COM602a,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM602a,ソフトウェア工学,後学期,木,4,田原　康之,,,
COM602e,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM602e,ソフトウェア工学,後学期,木,4,田原　康之,,,
COM603c,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM603c,ソフトウェア工学,後学期,木,4,田原　康之,,,
COM603d,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM603d,ソフトウェア工学,後学期,木,4,田原　康之,,,
ELE301a,電気・電子回路,前学期,月,1,水戸　和幸,,,
ELE301a,電気・電子回路,前学期,月,1,板倉　直明,,,
ELE301b,電気・電子回路,前学期,月,1,水戸　和幸,,,
ELE301b,電気・電子回路,前学期,月,1,板倉　直明,,,
ELE301c,電気・電子回路,前学期,月,1,水戸　和幸,,,
ELE301c,電気・電子回路,前学期,月,1,板倉　直明,,,
ELE301d,電気・電子回路,前学期,月,1,水戸　和幸,,,
ELE301d,電気・電子回路,前学期,月,1,板倉　直明,,,
ELE301e,電気・電子回路,前学期,月,1,水戸　和幸,,,
ELE301e,電気・電子回路,前学期,月,1,板倉　直明,,,
ELE301f,基礎電気回路,前学期,月,2,内田　雅文,,,
ELE301f,基礎電気回路,前学期,月,3,石川　亮,,,
ELE301f,基礎電気回路,前学期,火,4,西　一樹,,,
ELE301f,基礎電気回路,前学期,金,2,張　熙,,,
ELE301g,基礎電気回路,前学期,月,2,内田　雅文,,,
ELE301g,基礎電気回路,前学期,月,3,石川　亮,,,
ELE301g,基礎電気回路,前学期,火,4,西　一樹,,,
ELE301g,基礎電気回路,前学期,金,2,張　熙,,,
ELE301h,基礎電気回路,前学期,月,2,内田　雅文,,,
ELE301h,基礎電気回路,前学期,月,3,石川　亮,,,
ELE301h,基礎電気回路,前学期,火,4,西　一樹,,,
ELE301h,基礎電気回路,前学期,金,2,張　熙,,,
ELE301i,基礎電気回路,前学期,月,2,内田　雅文,,,
ELE301i,基礎電気回路,前学期,月,3,石川　亮,,,
ELE301i,基礎電気回路,前学期,火,4,西　一樹,,,
ELE301i,基礎電気回路,前学期,金,2,張　熙,,,
ELE301j,基礎電気回路,前学期,月,2,内田　雅文,,,
ELE301j,基礎電気回路,前学期,月,3,石川　亮,,,
ELE301j,基礎電気回路,前学期,火,4,西　一樹,,,
ELE301j,基礎電気回路,前学期,金,2,張　熙,,,
ELE301k,基礎電気回路,前学期,水,4,中村　信行,,,
ELE301k,基礎電気回路,前学期,金,3,武者　満,,,
ELE301k,基礎電気回路,前学期,金,3,中川　賢一,,,
ELE301k,基礎電気回路,前学期,金,3,曽我部　東馬,,,
ELE301m,基礎電気回路,前学期,水,4,中村　信行,,,
ELE301m,基礎電気回路,前学期,金,3,武者　満,,,
ELE301m,基礎電気回路,前学期,金,3,中川　賢一,,,
ELE301m,基礎電気回路,前学期,金,3,曽我部　東馬,,,
ELE301n,基礎電気回路,前学期,水,4,中村　信行,,,
ELE301n,基礎電気回路,前学期,金,3,武者　満,,,
ELE301n,基礎電気回路,前学期,金,3,中川　賢一,,,
ELE301n,基礎電気回路,前学期,金,3,曽我部　東馬,,,
ELE301p,基礎電気回路,前学期,水,4,中村　信行,,,
ELE301p,基礎電気回路,前学期,金,3,武者　満,,,
ELE301p,基礎電気回路,前学期,金,3,中川　賢一,,,
ELE301p,基礎電気回路,前学期,金,3,曽我部　東馬,,,
ELE301r,基礎電気回路,前学期,水,4,中村　信行,,,
ELE301r,基礎電気回路,前学期,金,3,武者　満,,,
ELE301r,基礎電気回路,前学期,金,3,中川　賢一,,,
ELE301r,基礎電気回路,前学期,金,3,曽我部　東馬,,,
ELE401g,回路システム学第一,後学期,水,3,範　公可,,,
ELE401g,回路システム学第一,後学期,木,3,和田　光司,,,
ELE401h,論理回路学,後学期,月,3,小島　年春,,,
ELE401h,論理回路学,後学期,火,1,安達　宏一,,,
ELE401k,基礎電子回路,後学期,月,3,奥野　剛史,,,
ELE401k,基礎電子回路,後学期,月,3,美濃島　薫,,,
ELE401k,基礎電子回路,後学期,月,3,岩國　加奈,,,
ELE401k,基礎電子回路,後学期,金,2,沈　青,,,
ELE401m,基礎電子回路,後学期,月,3,奥野　剛史,,,
ELE401m,基礎電子回路,後学期,月,3,美濃島　薫,,,
ELE401m,基礎電子回路,後学期,月,3,岩國　加奈,,,
ELE401m,基礎電子回路,後学期,金,2,沈　青,,,
ELE401n,基礎電子回路,後学期,月,3,奥野　剛史,,,
